count,whiteWins,blackWins,draw,opening_name,opening_variation
102074,50709,46796,4569,English Opening, Anglo-Indian Defense
101431,55786,42151,3494,Scotch Game, Scotch Gambit
101097,45663,52644,2790,Italian Game, Rousseau Gambit
100808,50650,46529,3629,Nimzo-Larsen Attack, English Variation
100043,51408,45683,2952,Duras Gambit,~
99576,50383,45158,4035,Ruy Lopez, Cozio Defense
98262,49732,44567,3963,English Opening," King's English Variation, Two Knights Variation"
98178,45712,48444,4022,Sicilian Defense, Hyperaccelerated Dragon
98111,51600,43333,3178,King's Gambit Accepted, Fischer Defense
97289,41811,50870,4608,Kádas Opening,~
96898,52965,40830,3103,Zukertort Opening, Ross Gambit
96115,45970,46187,3958,King's Indian Defense,~
95998,46144,45583,4271,London System,~
95910,49335,42177,4398,Queen's Gambit Declined, Three Knights Variation
94938,45196,45405,4337,Italian Game, Hungarian Defense
94829,41049,49979,3801,King's Pawn Game, King's Head Opening
94526,47650,42408,4468,Four Knights Game, Spanish Variation
93269,43192,46296,3781,King's Pawn Game," Wayward Queen Attack, Kiddie Countergambit"
92225,43407,44057,4761,Scotch Game, Schmidt Variation
92050,45633,42245,4172,French Defense," Exchange Variation, Monte Carlo Variation"
91996,46033,42246,3717,Queen's Gambit Declined, Albin Countergambit
91458,43726,43997,3735,Alekhine Defense, Maróczy Variation
91194,45642,42138,3414,Hungarian Opening, Sicilian Invitation
90618,47493,39508,3617,Ruy Lopez,~
90063,45911,40820,3332,Vienna Game, Stanley Variation
89997,42999,43175,3823,English Opening, The Whale
89128,45024,41354,2750,Rat Defense, Harmonist
88834,41375,43259,4200,East Indian Defense,~
88347,39052,46416,2879,Elephant Gambit, Paulsen Countergambit
87885,43724,40679,3482,Modern Defense, Two Knights Variation
87881,45138,39239,3504,Zukertort Opening, Queenside Fianchetto Variation
86779,43793,39314,3672,Queen's Pawn Game, Mason Attack
86749,42040,41136,3573,Four Knights Game," Spanish Variation, Classical Variation"
86667,42413,40088,4166,Caro-Kann Defense, Classical Variation
86496,43574,39726,3196,Sicilian Defense, Grand Prix Attack
86326,40824,41795,3707,Sicilian Defense," Accelerated Dragon, Modern Variation"
86316,43599,39272,3445,Zukertort Opening, Old Indian Attack
86299,40355,41238,4706,Ruy Lopez, Exchange Variation
85844,44312,36960,4572,Queen's Pawn Game," Symmetrical Variation, Pseudo-Catalan"
85243,44420,37271,3552,French Defense, Rubinstein Variation
84850,42812,38673,3365,French Defense, Steiner Variation
84082,42694,37454,3934,Indian Defense, Knights Variation
83636,40888,39514,3234,King's Indian Defense, Normal Variation
83287,42724,37847,2716,Benoni Defense, French Benoni
81355,42076,35872,3407,Modern Defense, Standard Defense
80201,45473,32534,2194,King's Gambit Accepted, King's Knight Gambit
80089,39530,36595,3964,Torre Attack,~
79741,39362,37187,3192,Czech Defense,~
79578,41052,35547,2979,English Opening," King's English Variation, Reversed Closed Sicilian"
77455,40279,34278,2898,Queen's Pawn Game, Stonewall Attack
76889,36697,37214,2978,Indian Defense, Budapest Defense
76791,39590,34349,2852,Caro-Kann Defense, Maróczy Variation
75877,36393,35310,4174,Caro-Kann Defense, Tartakower Variation
75819,38582,32631,4606,Queen's Gambit Declined," Exchange Variation, Positional Variation"
75525,36770,35659,3096,Anderssen's Opening,~
75098,36194,36033,2871,Dutch Defense, Queen's Knight Variation
74408,35253,36055,3100,King's Indian Defense," Normal Variation, Rare Defenses"
74258,35595,35671,2992,Vienna Game, Falkbeer Variation
74014,39405,32158,2451,Italian Game," Two Knights Defense, Knight Attack, Normal Variation"
73650,44180,26712,2758,Russian Game, Damiano Variation
73139,37345,32713,3081,Caro-Kann Defense, Accelerated Panov Attack
72921,37064,32606,3251,Queen's Pawn Game, Torre Attack
72808,40863,29775,2170,Scotch Game, Haxo Gambit
72114,38040,31452,2622,Modern Defense, Standard Line
